Date,Option_ID,Buy,Sell,Ask_Price,Bid_Price,Premium_Cost,Exposure
4/11/2024,SPY_4/12/2024_529.0,277.0,0.0,0.02,0.01,554.0,3000021.999999958
4/11/2024,SPY_4/12/2024_531.0,11316.0,0.0,0.01,0.0,11316.0,3000021.999999958
4/12/2024,SPY_4/15/2024_524.0,13790.0,0.0,0.03,0.02,41370.0,3000014.5000000778
4/15/2024,SPY_4/16/2024_515.0,4.0,0.0,0.09,0.08,36.0,3000147.8499999647
4/15/2024,SPY_4/16/2024_516.0,8367.0,0.0,0.07,0.06,58569.00000000001,3000147.8499999647
4/16/2024,SPY_4/17/2024_515.0,8249.0,0.0,0.04,0.03,32996.0,3000044.6799999936
4/16/2024,SPY_4/17/2024_516.0,3.0,0.0,0.03,0.02,9.0,3000044.6799999936
4/17/2024,SPY_4/18/2024_511.0,6567.0,0.0,0.05,0.04,32835.0,3000147.1500000125
4/17/2024,SPY_4/18/2024_512.0,3.0,0.0,0.04,0.03,12.0,3000147.1500000125
4/17/2024,SPY_4/18/2024_513.0,1.0,0.0,0.04,0.03,4.0,3000147.1500000125
4/18/2024,SPY_4/19/2024_511.0,4.0,0.0,0.04,0.03,16.0,3000329.599999972
4/23/2024,SPY_4/24/2024_514.0,2.0,0.0,0.03,0.02,6.0,3000056.7999999677
4/23/2024,SPY_4/24/2024_516.0,6222.0,0.0,0.02,0.01,12444.0,3000056.7999999677
4/24/2024,SPY_4/25/2024_517.0,8398.0,0.0,0.01,0.0,8398.0,3000017.5400000345
4/25/2024,SPY_4/26/2024_516.0,2812.0,0.0,0.05,0.04,14060.0,3000004.029999981
4/25/2024,SPY_4/26/2024_517.0,14237.0,0.0,0.03,0.02,42711.0,3000004.029999981
4/18/2024,SPY_4/19/2024_510.0,6656.0,0.0,0.05,0.04,33280.0,3000329.599999972
4/22/2024,SPY_4/23/2024_509.0,5253.0,0.0,0.02,0.01,10506.0,3000303.480000047
4/26/2024,SPY_4/29/2024_517.0,2298.0,0.0,0.01,0.0,2298.0,3000125.659999987
4/26/2024,SPY_4/29/2024_518.0,2429.0,0.0,0.01,0.0,2429.0,3000125.659999987
4/26/2024,SPY_4/29/2024_519.0,370.0,0.0,0.01,0.0,370.0,3000125.659999987
4/29/2024,SPY_4/30/2024_521.0,6878.0,0.0,0.01,0.0,6878.0,3000046.040000011
4/19/2024,SPY_4/22/2024_508.0,14890.0,0.0,0.03,0.02,44670.0,3000037.2000000547
4/30/2024,SPY_5/1/2024_513.0,2.0,0.0,0.07,0.06,14.000000000000002,3000087.8000000003
4/30/2024,SPY_5/1/2024_514.0,9868.0,0.0,0.05,0.03,49340.0,3000087.8000000003
5/1/2024,SPY_5/2/2024_511.0,1.0,0.0,0.03,0.02,3.0,3000018.3500000015
5/1/2024,SPY_5/2/2024_512.0,8926.0,0.0,0.02,0.01,17852.0,3000018.3500000015
5/2/2024,SPY_5/3/2024_517.0,1.0,0.0,0.03,0.02,3.0,3000245.1899999455
5/2/2024,SPY_5/3/2024_517.5,11190.0,0.0,0.02,0.01,22380.0,3000245.1899999455
5/3/2024,SPY_5/6/2024_520.0,2032.0,0.0,0.02,0.01,4064.0,3000091.129999992
5/3/2024,SPY_5/6/2024_519.0,2167.0,0.0,0.02,0.01,4334.0,3000091.129999992
5/6/2024,SPY_5/7/2024_525.0,4246.0,0.0,0.01,0.0,4246.0,3000690.6600000407
5/7/2024,SPY_5/8/2024_524.0,3467.0,0.0,0.01,0.0,3467.0,3000411.1399999815
5/9/2024,SPY_5/10/2024_527.5,3626.0,0.0,0.01,0.0,3626.0,3000551.2599999825
5/8/2024,SPY_5/9/2024_525.0,3894.0,0.0,0.01,0.0,3894.0,3000599.580000036
5/10/2024,SPY_5/13/2024_530.0,2063.0,0.0,0.01,0.0,2063.0,3000003.400000041
5/10/2024,SPY_5/13/2024_529.0,2232.0,0.0,0.01,0.0,2232.0,3000003.400000041
