Date,Symbol,Strategy,Strike,Contracts Bought,Cost,Exposure Achieved
4/11/2024,SPY,OTM,519.0,1619,202375.0,2354025.999999994
4/11/2024,IWM,OTM,202.5,3,285.0,2121.732
4/11/2024,QQQ,OTM,446.0,921,142755.0,1623738.6569999966
4/12/2024,SPY,OTM,511.0,2574,635778.0,3906173.7000000146
4/12/2024,IWM,OTM,199.0,2143,242158.99999999997,1466420.611999999
4/12/2024,QQQ,OTM,439.0,156,31200.0,268929.4919999995
4/15/2024,SPY,OTM,505.0,1106,221200.0,1612935.0999999954
4/15/2024,IWM,OTM,196.0,1154,191564.0,787960.432
4/15/2024,QQQ,OTM,432.0,922,161350.0,1542825.011999998
4/16/2024,SPY,OTM,504.0,1106,206822.0,1618730.539999999
4/16/2024,IWM,OTM,196.0,3,222.0,1824.6480000000047
4/16/2024,QQQ,OTM,432.0,922,149364.0,1546664.220000001
4/17/2024,SPY,OTM,501.0,1106,201292.0,1611054.900000002
4/17/2024,IWM,OTM,194.0,1159,147193.0,689373.2000000009
4/17/2024,QQQ,OTM,426.0,920,204240.00000000003,1591548.479999995
4/18/2024,SPY,OTM,500.0,1106,196868.0,1604319.3599999954
4/18/2024,IWM,OTM,193.0,3,321.0,2034.6720000000005
4/18/2024,QQQ,OTM,424.0,921,157491.0,1544499.5010000006
4/19/2024,SPY,OTM,496.0,1943,347797.0,2723075.640000007
4/19/2024,IWM,OTM,194.0,2147,165319.0,1308175.6880000005
4/19/2024,QQQ,OTM,415.0,156,34320.0,259750.13999999888
4/22/2024,SPY,OTM,500.0,1106,143780.0,1627102.96000001
4/22/2024,IWM,OTM,196.0,3,174.0,1899.2400000000032
4/22/2024,QQQ,OTM,419.0,920,138000.0,1563229.0399999958
4/23/2024,SPY,OTM,506.0,1106,161476.0,1639036.6999999944
4/23/2024,IWM,OTM,199.0,3,195.0,2015.5560000000037
4/23/2024,QQQ,OTM,426.0,922,174258.0,1521103.613999998
4/24/2024,SPY,OTM,506.0,1106,94010.0,1611696.3800000045
4/24/2024,IWM,OTM,198.0,3,219.0,2038.9440000000009
4/24/2024,QQQ,OTM,427.0,921,90258.0,1565415.4109999961
4/25/2024,SPY,OTM,504.0,1106,496594.0,1614173.8199999987
4/25/2024,IWM,OTM,197.0,3,267.0,1965.9840000000004
4/25/2024,QQQ,OTM,425.0,921,479841.0,1552110.6449999977
4/26/2024,SPY,OTM,509.0,2259,225900.0,3277312.0199999944
4/26/2024,IWM,OTM,199.0,2145,132990.0,1394455.9200000043
4/26/2024,QQQ,OTM,432.0,156,18876.0,260067.5999999999
4/29/2024,SPY,OTM,511.0,1619,155424.0,2325175.4200000027
4/29/2024,IWM,OTM,200.0,3,198.0,2147.5680000000066
4/29/2024,QQQ,OTM,433.0,921,185120.99999999997,1611082.2749999948
4/30/2024,SPY,OTM,502.0,592,139120.0,890332.48
4/30/2024,IWM,OTM,196.0,3,393.0,2085.7200000000034
4/30/2024,QQQ,OTM,425.0,921,232092.0,1565533.2989999969
5/1/2024,SPY,OTM,501.0,1106,202398.0,1588271.3000000003
5/1/2024,IWM,OTM,197.0,3,306.0,1913.148000000001
5/1/2024,QQQ,OTM,422.0,921,206304.00000000003,1547493.6719999956
5/2/2024,SPY,OTM,506.0,1619,320562.0,2295887.709999992
5/2/2024,IWM,OTM,200.0,3,416.99999999999994,2135.136
5/2/2024,QQQ,OTM,427.0,920,244720.0,1601066.7999999938
5/3/2024,SPY,OTM,512.0,2259,298188.0,3304623.3299999954
5/3/2024,IWM,OTM,202.0,2138,194558.0,1532603.9200000041
5/3/2024,QQQ,OTM,436.0,156,25740.0,270421.00799999986
5/6/2024,SPY,OTM,517.0,1106,88480.0,1666421.2600000105
5/6/2024,IWM,OTM,205.0,3,129.0,2061.707999999996
5/6/2024,QQQ,OTM,441.0,922,80214.0,1595083.0499999952
5/7/2024,SPY,OTM,518.0,1619,132758.0,2372514.979999991
5/7/2024,IWM,OTM,205.0,3,180.0,2204.6759999999977
5/7/2024,QQQ,OTM,441.0,922,107874.0,1601801.6639999973
5/8/2024,SPY,OTM,518.0,1619,116568.0,2380852.830000015
5/8/2024,IWM,OTM,204.0,3,180.0,2134.8240000000033
5/8/2024,QQQ,OTM,441.0,922,70072.0,1576846.8119999955
5/9/2024,SPY,OTM,521.0,1619,135996.0,2392088.689999992
5/9/2024,IWM,OTM,206.0,3,219.0,2181.288000000009
5/9/2024,QQQ,OTM,442.0,922,95888.0,1576787.8039999977
5/10/2024,SPY,OTM,521.0,2574,236808.0,3980742.4800000247
5/10/2024,IWM,OTM,205.0,2145,87945.0,1429676.820000003
5/10/2024,QQQ,OTM,443.0,156,12480.0,268077.5759999991
